単語,意味
create,創り出す；引き起こす
increase,増加する；を増やす
improve,を向上させる；よくなる
mean,を意味する；（…する）つもりである（to do）
own,を所有している；（事実・罪など）を認める
include,を含む
consider,を見なす；について考える
allow,を許す；を与える；（～を）考慮に入れる（for）
suggest,を提案する；を暗示する
produce,を生産する；を取り出す
decide,を決める；に決着をつける
offer,を提供する，申し出る
require,を要求する；を必要とする
share,を共有する；を分担する
store,を保存する；を蓄える
tend,傾向がある；を世話する
concern,〔受身形で〕心配している；〔受身形で〕（～に）関係する（with）；に関連する
describe,について述べる，を説明する
involve,を関与させる；を伴う
reduce,を減らす；を（～に）変える（to）
design,を設計する；を計画する
force,に強いる；を強要する
limit,を制限［規制］する
bear,に耐える；を負う；を産む；を（心に）抱く
affect,に影響を及ぼす；を感動させる
deal,〔deal withで〕を処理する；〔deal inで〕を商う；を分配する
avoid,を避ける
relate,を関連づける；（～に）関連する（to）
realize,に気づく；を実現する
encourage,を奨励する；を励ます
compare,を比較する；を（～に）たとえる（to）
measure,を測る；を（比較して）評価する
exist,存在する；生存する
mark,に印をつける；を（記号で）示す；に汚れをつける
challenge,に異議を唱える；（人）に挑む
depend,頼る；～次第である
object,反対する；（…）と言って反対する（that節）
demand,を要求する
found,を設立する；（理論など）を（～に基づいて）築く（on）
complete,完成させる，仕上げる
idea,考え，思いつき；理解；見解；概念
accord,一致；合意，協定
company,会社；〔集合的に〕仲間；（仲間と）一緒にいること；一座
interest,興味；利子；利害
research,（～についての）研究，調査（into / on / in）
cause,原因；理由；大義
reason,理由；（…する）根拠（to do）；理性；分別
effect,影響，効果；結果
influence,影響（力）
situation,状況；（人の置かれた）立場
environment,環境
skill,技能；熟練
matter,事柄；問題；〔～s〕事態；〔the ～〕困難；物質
view,（～についての）見解（on / about）；（～に対する）（特定の）見方（of）；眺め
value,価値；価格；評価；〔～s〕価値観
species,（生物の）種；種類
thought,考え；思考
knowledge,知識；知っていること；認識
memory,記憶（力）；（～の）思い出（of）
practice,実践，実行；（社会の）慣習；練習
benefit,利益，恩恵；給付金
theory,学説；理論；原理；推測
issue,問題（点）；発行（物）；発表
experiment,（～を対象とする）実験（on）
article,記事；条項；品物
focus,焦点；関心の的
subject,話題；科目；主題；被験者
project,計画；事業；研究計画
quality,質；特質
role,役割；（俳優などの）役
term,（専門）用語；〔～s〕条件；〔～s〕間柄；学期
